experiment,run_name,learning_rate,gamma,batch_size,epsilon_start,epsilon_end,epsilon_decay,training_timesteps,training_episodes,final_training_reward,best_training_reward,mean_training_length,evaluation_episodes,evaluation_mean_reward,evaluation_reward_std,evaluation_best_reward,evaluation_worst_reward,evaluation_mean_length
C01,member_c_01_baseline,0.0001,0.99,32,1.0,0.05,0.1,50000,59,-20.75,-18.0,3361.525,5,-21.0,0.0,-21.0,-21.0,3056
C02,member_c_02_fast_decay,0.0001,0.99,32,1.0,0.05,0.02,50000,59,-20.75,-18.0,3361.525,5,-21.0,0.0,-21.0,-21.0,3056
C03,member_c_03_slow_decay,0.0001,0.99,32,1.0,0.05,0.5,50000,61,-20.95,-18.0,3298.311,5,-21.0,0.0,-21.0,-21.0,3056
C04,member_c_04_high_final_epsilon,0.0001,0.99,32,1.0,0.2,0.3,50000,59,-20.9,-18.0,3391.475,5,-21.0,0.0,-21.0,-21.0,3056
C05,member_c_05_low_start_epsilon,0.0001,0.99,32,0.5,0.05,0.1,50000,59,-20.75,-18.0,3361.525,5,-21.0,0.0,-21.0,-21.0,3056
C06,member_c_06_high_lr_low_gamma,0.0005,0.95,32,1.0,0.05,0.1,50000,61,-20.85,-18.0,3285.738,5,-21.0,0.0,-21.0,-21.0,3056
C07,member_c_07_low_lr_high_gamma,5e-05,0.995,64,1.0,0.05,0.2,50000,59,-20.65,-18.0,3382.593,5,-21.0,0.0,-21.0,-21.0,3056
C08,member_c_08_aggressive_edge,0.001,0.999,32,1.0,0.01,0.05,50000,62,-21.0,-18.0,3212.258,5,-21.0,0.0,-21.0,-21.0,3056
C09,member_c_09_large_batch,0.0001,0.99,128,1.0,0.05,0.2,50000,59,-20.9,-18.0,3409.576,5,-21.0,0.0,-21.0,-21.0,3056
C10,member_c_10_small_batch,0.00025,0.97,16,1.0,0.1,0.3,50000,61,-21.0,-18.0,3285.934,5,-21.0,0.0,-21.0,-21.0,3056
