episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-18.0,4369
13,-21.0,3168
14,-21.0,3056
15,-21.0,3056
16,-21.0,3056
17,-21.0,3056
18,-21.0,3168
19,-21.0,3296
20,-21.0,3377
21,-20.0,3348
22,-21.0,3168
23,-21.0,3056
24,-21.0,3540
25,-21.0,3056
26,-21.0,3056
27,-21.0,3168
28,-21.0,3296
29,-21.0,3131
30,-21.0,3128
31,-21.0,3168
32,-20.0,3350
33,-21.0,3056
34,-21.0,3056
35,-20.0,3350
36,-21.0,3056
37,-21.0,3056
38,-21.0,3056
39,-21.0,3056
40,-21.0,3168
41,-21.0,3056
42,-21.0,3168
43,-21.0,3056
44,-21.0,3056
45,-21.0,3776
46,-21.0,3300
47,-21.0,3128
48,-21.0,3168
49,-21.0,3056
50,-21.0,3304
51,-21.0,3056
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-21.0,3300
56,-21.0,3056
57,-21.0,3056
58,-20.0,3685
59,-21.0,3056
60,-21.0,3544
61,-21.0,3408
62,-21.0,3280
63,-21.0,3131
64,-21.0,3408
65,-21.0,3300
66,-21.0,3544
67,-21.0,3168
68,-20.0,3367
69,-21.0,3296
70,-21.0,3056
71,-21.0,3296
72,-21.0,3168
73,-21.0,3296
74,-21.0,3300
75,-20.0,3350
76,-21.0,3168
77,-21.0,3536
78,-21.0,3304
79,-21.0,3286
80,-21.0,3056
81,-21.0,3168
82,-21.0,3056
83,-20.0,3819
84,-21.0,4823
85,-21.0,3131
86,-21.0,3412
87,-21.0,3296
88,-20.0,3621
89,-21.0,3168
90,-21.0,3056
91,-21.0,3408
92,-21.0,3296
93,-21.0,3371
94,-21.0,3648
95,-21.0,3296
96,-20.0,3373
97,-21.0,3168
98,-21.0,3168
99,-21.0,3168
100,-21.0,3168
101,-21.0,3536
102,-20.0,3752
103,-21.0,3296
104,-21.0,3168
105,-21.0,3056
106,-21.0,3296
107,-21.0,3056
108,-21.0,3368
109,-21.0,3296
110,-20.0,3675
111,-21.0,3056
112,-20.0,3479
113,-20.0,3367
114,-21.0,3056
115,-21.0,3368
116,-21.0,3544
117,-21.0,3056
118,-21.0,3056
119,-19.0,3993
120,-21.0,3408
121,-21.0,3056
122,-21.0,3548
123,-20.0,3930
124,-21.0,3243
125,-21.0,3296
126,-20.0,3549
127,-21.0,3056
128,-21.0,3412
129,-21.0,3408
130,-21.0,3296
131,-20.0,3350
132,-21.0,3371
133,-20.0,4201
134,-20.0,3367
135,-20.0,3921
136,-21.0,3648
137,-21.0,3056
138,-21.0,3056
139,-21.0,3296
140,-21.0,3296
141,-21.0,3168
142,-20.0,3549
143,-21.0,3296
144,-21.0,3480
145,-21.0,3296
146,-21.0,4136
147,-21.0,3536
148,-21.0,3296
149,-20.0,3479
150,-21.0,3888
151,-20.0,3708
152,-21.0,3056
153,-21.0,3300
154,-21.0,3536
155,-21.0,3408
156,-21.0,3168
157,-21.0,3056
158,-21.0,3536
159,-21.0,3371
160,-21.0,3056
161,-21.0,3056
162,-21.0,3296
163,-21.0,3056
164,-21.0,3168
165,-21.0,3412
166,-20.0,3547
167,-21.0,3652
168,-21.0,3408
169,-19.0,4278
170,-21.0,3128
171,-20.0,3551
172,-20.0,3507
173,-20.0,3967
174,-21.0,3296
175,-21.0,3300
176,-21.0,3412
177,-20.0,3367
178,-20.0,3787
179,-21.0,3408
180,-21.0,3056
