episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3416
13,-21.0,3300
14,-21.0,3168
15,-20.0,3370
16,-21.0,3280
17,-21.0,3056
18,-20.0,3350
19,-21.0,3056
20,-20.0,3613
21,-21.0,3540
22,-21.0,3056
23,-21.0,3296
24,-21.0,3056
25,-21.0,3056
26,-21.0,3368
27,-20.0,3479
28,-21.0,3056
29,-21.0,3056
30,-21.0,3296
31,-20.0,3367
32,-21.0,3168
33,-21.0,3280
34,-21.0,3056
35,-21.0,3056
36,-21.0,3784
37,-21.0,3056
38,-21.0,3408
39,-21.0,3536
40,-21.0,3536
41,-21.0,3056
42,-20.0,3367
43,-21.0,3296
44,-21.0,3056
45,-21.0,3056
46,-20.0,3367
47,-21.0,3296
48,-20.0,3803
49,-21.0,3540
50,-21.0,3296
51,-21.0,3536
52,-21.0,3296
53,-21.0,3056
54,-21.0,3056
55,-21.0,3296
56,-20.0,3367
57,-21.0,3168
58,-21.0,3056
59,-21.0,3296
60,-21.0,3296
61,-21.0,3245
62,-21.0,3296
63,-21.0,3304
64,-21.0,3168
65,-21.0,3296
66,-21.0,3131
67,-21.0,3056
68,-21.0,3616
69,-20.0,3588
70,-21.0,3296
71,-20.0,3370
72,-21.0,3300
73,-20.0,3610
74,-21.0,3304
75,-20.0,4126
76,-21.0,3056
77,-21.0,3536
78,-21.0,3611
79,-21.0,3540
80,-21.0,3540
81,-20.0,3970
82,-21.0,3536
83,-20.0,3592
84,-21.0,3296
85,-21.0,3536
86,-21.0,3408
87,-18.0,3983
88,-21.0,3540
89,-21.0,3368
90,-20.0,4068
91,-21.0,3296
92,-20.0,3463
93,-20.0,3370
94,-21.0,3056
95,-21.0,3056
96,-20.0,3435
97,-21.0,3240
98,-21.0,3168
99,-21.0,3128
100,-21.0,3056
101,-21.0,3168
102,-21.0,3296
103,-21.0,3168
104,-21.0,3296
105,-20.0,3613
106,-21.0,3296
107,-20.0,3796
108,-21.0,3168
109,-20.0,3367
110,-20.0,3555
111,-21.0,3056
112,-19.0,3902
113,-21.0,3168
114,-21.0,3056
115,-21.0,3544
116,-21.0,3168
117,-21.0,3595
118,-21.0,3296
119,-20.0,3367
120,-21.0,3056
121,-20.0,3668
122,-21.0,3544
123,-21.0,3888
124,-21.0,3056
125,-17.0,4387
126,-20.0,3967
127,-21.0,3540
128,-20.0,4340
129,-21.0,3296
130,-20.0,3594
131,-21.0,3536
132,-21.0,3056
133,-20.0,4034
134,-21.0,3296
135,-20.0,4102
136,-19.0,4079
137,-21.0,4272
138,-21.0,3168
139,-19.0,3823
140,-20.0,4342
141,-18.0,5037
142,-21.0,3536
143,-20.0,4159
144,-21.0,3536
145,-20.0,3919
146,-21.0,3056
147,-21.0,3296
148,-19.0,4658
149,-21.0,3776
150,-21.0,4636
151,-21.0,3408
152,-20.0,4169
153,-21.0,3296
154,-21.0,3056
155,-21.0,3544
156,-21.0,3300
157,-19.0,4910
158,-19.0,4300
159,-21.0,3788
160,-21.0,3056
161,-20.0,3441
162,-21.0,3780
163,-19.0,4141
164,-21.0,3056
165,-19.0,3823
166,-21.0,3296
167,-21.0,3056
168,-21.0,3304
169,-20.0,3683
170,-21.0,3056
171,-21.0,3056
172,-20.0,3441
173,-21.0,3654
