episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-20.0,3924
13,-21.0,4260
14,-21.0,3168
15,-20.0,3642
16,-20.0,3836
17,-21.0,3304
18,-21.0,3296
19,-21.0,3300
20,-21.0,3296
21,-21.0,3368
22,-21.0,3296
23,-19.0,3661
24,-21.0,3489
25,-21.0,3056
26,-20.0,3367
27,-20.0,3607
28,-21.0,3796
29,-20.0,3348
30,-21.0,3304
31,-21.0,3296
32,-21.0,3280
33,-21.0,3056
34,-21.0,3412
35,-20.0,3462
36,-21.0,3056
37,-21.0,3483
38,-21.0,3304
39,-21.0,3412
40,-20.0,3348
41,-21.0,3168
42,-21.0,3300
43,-21.0,3304
44,-21.0,3392
45,-21.0,3056
46,-21.0,3056
47,-21.0,3056
48,-20.0,3367
49,-21.0,3056
50,-21.0,3131
51,-21.0,3300
52,-21.0,3300
53,-21.0,3056
54,-21.0,3056
55,-21.0,3544
56,-21.0,3056
57,-21.0,3056
58,-21.0,3648
59,-20.0,3350
60,-21.0,3168
61,-21.0,3131
62,-21.0,3056
63,-21.0,3056
64,-21.0,3056
65,-21.0,3056
66,-21.0,3168
67,-21.0,3536
68,-21.0,3056
69,-21.0,3056
70,-21.0,3536
71,-21.0,3056
72,-21.0,3056
73,-21.0,3056
74,-21.0,3056
75,-21.0,3168
76,-21.0,3168
77,-21.0,3056
78,-21.0,3776
79,-21.0,3056
80,-21.0,3056
81,-21.0,3056
82,-21.0,3056
83,-21.0,3056
84,-21.0,3296
85,-21.0,3131
86,-21.0,3056
87,-21.0,3056
88,-21.0,3296
89,-21.0,3300
90,-21.0,3168
91,-21.0,3168
92,-21.0,3056
93,-21.0,3304
94,-21.0,3056
95,-21.0,3056
96,-21.0,3056
97,-21.0,3776
98,-21.0,3168
99,-21.0,3168
100,-21.0,3300
101,-21.0,3296
102,-21.0,3168
103,-21.0,3168
104,-21.0,3056
105,-20.0,3370
106,-21.0,3168
107,-21.0,3056
108,-21.0,3131
109,-21.0,3168
110,-21.0,3536
111,-21.0,3536
112,-20.0,3479
113,-21.0,3296
114,-21.0,3168
115,-21.0,3056
116,-21.0,3176
117,-21.0,3056
118,-20.0,3350
119,-21.0,3056
120,-21.0,3056
121,-21.0,4016
122,-21.0,3056
123,-21.0,3168
124,-21.0,3056
125,-21.0,3300
126,-21.0,3131
127,-21.0,3168
128,-21.0,3296
129,-21.0,3056
130,-21.0,3296
131,-21.0,3296
132,-20.0,3367
133,-20.0,3370
134,-21.0,3056
135,-21.0,3056
136,-21.0,3536
137,-21.0,3056
138,-21.0,3168
139,-21.0,3056
140,-21.0,3296
141,-21.0,3056
142,-21.0,3056
143,-21.0,3056
144,-21.0,3056
145,-21.0,3056
146,-21.0,3056
147,-21.0,3056
148,-21.0,3056
149,-21.0,3056
150,-21.0,3296
151,-21.0,3168
152,-21.0,3056
153,-21.0,3056
154,-21.0,3056
155,-21.0,3168
156,-21.0,3168
157,-21.0,3056
158,-21.0,3776
159,-21.0,3296
160,-21.0,3296
161,-21.0,3296
162,-21.0,3168
163,-21.0,3056
164,-21.0,3056
165,-21.0,3056
166,-21.0,3056
167,-21.0,3056
168,-21.0,3168
169,-21.0,3056
170,-21.0,3296
171,-21.0,3056
172,-21.0,3056
173,-21.0,3056
174,-20.0,3367
175,-21.0,3408
176,-21.0,3056
177,-21.0,3056
178,-21.0,3056
179,-21.0,3056
180,-21.0,3056
181,-21.0,3520
182,-21.0,3056
183,-21.0,3056
184,-21.0,3304
185,-21.0,3056
186,-21.0,3056
187,-21.0,3056
188,-21.0,3056
189,-21.0,3296
190,-21.0,3056
191,-20.0,3617
192,-21.0,3056
193,-21.0,3056
194,-21.0,3056
195,-21.0,3776
196,-21.0,3056
197,-21.0,3536
198,-21.0,3056
199,-21.0,3536
200,-21.0,3168
201,-21.0,3056
202,-21.0,3056
203,-21.0,3131
204,-21.0,3056
205,-21.0,3132
206,-21.0,3304
207,-21.0,3056
208,-21.0,3056
