episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3408
13,-21.0,3408
14,-21.0,3408
15,-21.0,3056
16,-21.0,3536
17,-21.0,3296
18,-21.0,3056
19,-21.0,3408
20,-21.0,3168
21,-21.0,3296
22,-21.0,3408
23,-20.0,3551
24,-21.0,3056
25,-21.0,3056
26,-21.0,3056
27,-21.0,3131
28,-21.0,3416
29,-21.0,3056
30,-21.0,3056
31,-21.0,3410
32,-21.0,3544
33,-21.0,3056
34,-20.0,3607
35,-21.0,3056
36,-20.0,3350
37,-21.0,3056
38,-21.0,3296
39,-21.0,3536
40,-21.0,3168
41,-21.0,3056
42,-20.0,3373
43,-21.0,3168
44,-21.0,3371
45,-21.0,3168
46,-21.0,3168
47,-21.0,3304
48,-21.0,3168
49,-21.0,3168
50,-21.0,3536
51,-19.0,3932
52,-21.0,3128
53,-21.0,3056
54,-21.0,3408
55,-21.0,3056
56,-21.0,3056
57,-20.0,3370
58,-20.0,4010
59,-21.0,3648
