episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4788
12,-21.0,3296
13,-21.0,3300
14,-21.0,3280
15,-21.0,3304
16,-20.0,3441
17,-20.0,3350
18,-21.0,3304
19,-21.0,3656
20,-21.0,3131
21,-21.0,3056
22,-21.0,3056
23,-21.0,3056
24,-21.0,3300
25,-20.0,3547
26,-21.0,3131
27,-20.0,3367
28,-21.0,3056
29,-21.0,3296
30,-20.0,3350
31,-21.0,3296
32,-21.0,3056
33,-21.0,3056
34,-21.0,3304
35,-21.0,3056
36,-21.0,3056
37,-21.0,3544
38,-21.0,3056
39,-21.0,3168
40,-21.0,3056
41,-21.0,3056
42,-21.0,3056
43,-21.0,3056
44,-21.0,3536
45,-21.0,3056
46,-21.0,3056
47,-21.0,3168
48,-21.0,3168
49,-21.0,3304
50,-21.0,3056
51,-20.0,3351
52,-21.0,3536
53,-21.0,3056
54,-21.0,3056
55,-21.0,3168
56,-21.0,3544
57,-21.0,3056
58,-21.0,3056
59,-21.0,3056
60,-21.0,3304
61,-21.0,3056
