episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-20.0,3727
13,-21.0,3296
14,-21.0,3296
15,-20.0,3370
16,-21.0,3544
17,-21.0,3416
18,-21.0,3304
19,-21.0,3612
20,-21.0,3168
21,-21.0,4032
22,-21.0,3056
23,-21.0,3056
24,-21.0,3056
25,-21.0,3056
26,-21.0,3056
27,-20.0,3615
28,-21.0,3296
29,-21.0,3296
30,-21.0,3784
31,-21.0,3296
32,-21.0,3296
33,-21.0,3056
34,-21.0,3056
35,-21.0,3056
36,-20.0,3563
37,-21.0,3131
38,-20.0,3367
39,-21.0,3131
40,-21.0,3300
41,-21.0,3300
42,-21.0,3304
43,-21.0,3784
44,-21.0,3408
45,-21.0,3056
46,-21.0,3296
47,-20.0,3370
48,-21.0,4016
49,-21.0,3168
50,-20.0,3682
51,-21.0,3296
52,-21.0,3520
53,-21.0,3288
54,-21.0,3056
55,-21.0,3168
56,-21.0,3056
57,-21.0,3056
58,-21.0,3296
59,-21.0,3408
