episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4788
12,-20.0,3964
13,-20.0,3348
14,-21.0,3300
15,-21.0,3304
16,-20.0,3482
17,-21.0,3168
18,-21.0,3357
19,-21.0,3300
20,-20.0,3367
21,-20.0,3610
22,-21.0,3168
23,-20.0,3348
24,-21.0,3056
25,-21.0,3056
26,-20.0,3367
27,-21.0,3296
28,-21.0,3280
29,-20.0,3615
30,-21.0,3056
31,-21.0,3168
32,-21.0,3056
33,-21.0,3056
34,-21.0,3056
35,-21.0,3056
36,-21.0,3056
37,-21.0,3056
38,-21.0,3056
39,-21.0,3056
40,-21.0,3056
41,-21.0,3056
42,-21.0,3056
43,-21.0,3056
44,-21.0,3056
45,-21.0,3056
46,-21.0,3056
47,-20.0,3370
48,-21.0,3056
49,-21.0,3131
50,-21.0,3131
51,-21.0,3056
52,-21.0,3056
53,-21.0,3056
54,-21.0,3056
55,-20.0,3588
56,-20.0,3367
57,-21.0,3056
58,-21.0,3056
59,-21.0,3056
60,-21.0,3128
61,-21.0,3296
