episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-19.0,4218
13,-20.0,3610
14,-20.0,3592
15,-21.0,3133
16,-21.0,3772
17,-20.0,3683
18,-21.0,3304
19,-21.0,3392
20,-20.0,3367
21,-19.0,4225
22,-21.0,3544
23,-21.0,3304
24,-20.0,3703
25,-20.0,3460
26,-20.0,3610
27,-19.0,3734
28,-21.0,3056
29,-21.0,3371
30,-21.0,3923
31,-20.0,3683
32,-20.0,3350
33,-20.0,3883
34,-20.0,3607
35,-21.0,3416
36,-19.0,4325
37,-20.0,3367
38,-19.0,3906
39,-21.0,3652
40,-21.0,3296
41,-19.0,3758
42,-21.0,3300
43,-20.0,4095
44,-21.0,3788
45,-21.0,3131
46,-20.0,3607
47,-20.0,3591
48,-21.0,3056
49,-21.0,3056
50,-21.0,3296
51,-21.0,3056
52,-21.0,3412
53,-20.0,3719
54,-21.0,3653
55,-21.0,3056
56,-21.0,3392
57,-21.0,3300
58,-21.0,3300
59,-21.0,3304
60,-21.0,3296
61,-21.0,3300
62,-21.0,3056
63,-21.0,3296
64,-21.0,3296
65,-21.0,3056
66,-20.0,3348
67,-21.0,3900
68,-20.0,3350
69,-21.0,3648
70,-20.0,3728
71,-21.0,3376
72,-21.0,3168
73,-20.0,3607
74,-21.0,3296
75,-21.0,3056
76,-20.0,3370
77,-21.0,3056
78,-20.0,3684
79,-21.0,3056
80,-20.0,3592
81,-20.0,3618
82,-20.0,3614
83,-20.0,3675
84,-21.0,3544
85,-21.0,3243
86,-20.0,4419
87,-21.0,3613
88,-21.0,3243
89,-21.0,3636
90,-21.0,3548
91,-19.0,3823
92,-20.0,3370
93,-21.0,3619
94,-19.0,4013
95,-21.0,3296
96,-21.0,3056
97,-18.0,3977
98,-21.0,3536
99,-21.0,4260
100,-21.0,4372
101,-20.0,3350
102,-21.0,3300
103,-20.0,3350
104,-20.0,3607
105,-21.0,3536
106,-20.0,4574
107,-21.0,3056
108,-20.0,4327
109,-21.0,4256
110,-21.0,3536
111,-21.0,3848
112,-21.0,3056
113,-21.0,3056
114,-20.0,3607
115,-21.0,3056
116,-21.0,3304
117,-21.0,3056
118,-19.0,3992
119,-21.0,3056
120,-20.0,3614
121,-21.0,3056
122,-21.0,3536
123,-21.0,3056
124,-21.0,3056
125,-21.0,3888
126,-21.0,3296
127,-20.0,3685
128,-21.0,3056
129,-21.0,3788
130,-21.0,3056
131,-20.0,4488
132,-21.0,3056
133,-21.0,3056
134,-21.0,3056
135,-21.0,3536
136,-21.0,3296
137,-21.0,3304
138,-21.0,3300
139,-20.0,3721
140,-19.0,5320
141,-21.0,4260
142,-21.0,3536
143,-21.0,3768
144,-20.0,3482
145,-21.0,3056
146,-20.0,4039
147,-21.0,3288
148,-21.0,3056
149,-21.0,3648
150,-21.0,4744
151,-19.0,4709
152,-21.0,3056
153,-21.0,3284
154,-21.0,3536
155,-21.0,3304
156,-20.0,3370
157,-18.0,4061
158,-19.0,5010
159,-20.0,4094
160,-20.0,3848
161,-21.0,5279
162,-20.0,3612
163,-19.0,3930
164,-18.0,5164
165,-19.0,4168
166,-21.0,3056
167,-21.0,3056
168,-18.0,4794
169,-21.0,3296
170,-21.0,3056
171,-21.0,4260
172,-19.0,4120
173,-20.0,4576
174,-20.0,3847
175,-21.0,3778
176,-20.0,3847
177,-21.0,3540
178,-20.0,4155
179,-21.0,4016
180,-21.0,4256
181,-21.0,3648
182,-19.0,5024
183,-21.0,4504
184,-21.0,3416
185,-20.0,3924
186,-21.0,3416
187,-20.0,4173
188,-21.0,3540
189,-20.0,4517
190,-21.0,4097
191,-21.0,4345
192,-19.0,5144
193,-18.0,5637
194,-21.0,3540
195,-21.0,4384
196,-20.0,4433
197,-16.0,5332
198,-16.0,6043
199,-19.0,5102
200,-21.0,3784
201,-19.0,4656
202,-18.0,5637
203,-21.0,4459
204,-19.0,5968
205,-18.0,5614
206,-21.0,4357
207,-20.0,6099
208,-20.0,5032
209,-20.0,3925
210,-21.0,3371
211,-21.0,3987
212,-18.0,5165
213,-19.0,4499
214,-19.0,4800
