episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4788
12,-21.0,3296
13,-21.0,3296
14,-21.0,3056
15,-21.0,3056
16,-21.0,3056
17,-21.0,3056
18,-21.0,3168
19,-21.0,3056
20,-21.0,3296
21,-21.0,3056
22,-21.0,3168
23,-21.0,3056
24,-21.0,3056
25,-21.0,3056
26,-21.0,3056
27,-21.0,3056
28,-21.0,3168
29,-21.0,3056
30,-21.0,3056
31,-21.0,3056
32,-21.0,3168
33,-21.0,3056
34,-21.0,3056
35,-21.0,3056
36,-21.0,3056
37,-21.0,3056
38,-21.0,3056
39,-21.0,3056
40,-20.0,3367
41,-21.0,3056
42,-21.0,3056
43,-21.0,3056
44,-21.0,3056
45,-21.0,3056
46,-21.0,3296
47,-21.0,3168
48,-21.0,3056
49,-21.0,3056
50,-21.0,3168
51,-21.0,3544
52,-21.0,3056
53,-21.0,3056
54,-21.0,3296
55,-21.0,3056
56,-21.0,3056
57,-21.0,3056
58,-21.0,3056
59,-21.0,3056
60,-21.0,3056
61,-21.0,3056
62,-21.0,3168
