episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3408
13,-21.0,3296
14,-21.0,3168
15,-21.0,3168
16,-20.0,3350
17,-21.0,3168
18,-21.0,3296
19,-21.0,3056
20,-21.0,3368
21,-21.0,3656
22,-21.0,3892
23,-19.0,4209
24,-21.0,3416
25,-21.0,3056
26,-21.0,3483
27,-21.0,3168
28,-21.0,3429
29,-21.0,3056
30,-21.0,3296
31,-21.0,3296
32,-21.0,3408
33,-20.0,3607
34,-21.0,3056
35,-21.0,3168
36,-21.0,3056
37,-20.0,3607
38,-21.0,3056
39,-21.0,3524
40,-21.0,3296
41,-21.0,3676
42,-21.0,3056
43,-21.0,3408
44,-21.0,3056
45,-21.0,3131
46,-20.0,4067
47,-21.0,3540
48,-21.0,3280
49,-20.0,3666
50,-21.0,3056
51,-21.0,3168
52,-21.0,3300
53,-21.0,3544
54,-21.0,3408
55,-21.0,3296
56,-21.0,3355
57,-21.0,3168
58,-21.0,3280
59,-21.0,3416
