episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3131
13,-21.0,3168
14,-20.0,3557
15,-21.0,3408
16,-21.0,3168
17,-21.0,3304
18,-21.0,3168
19,-21.0,3056
20,-21.0,3296
21,-21.0,3280
22,-21.0,3056
23,-21.0,3056
24,-21.0,3168
25,-21.0,3171
26,-20.0,3367
27,-21.0,3168
28,-21.0,3296
29,-21.0,3304
30,-21.0,3168
31,-21.0,3131
32,-21.0,3056
33,-21.0,3056
34,-21.0,3056
35,-21.0,3168
36,-21.0,3056
37,-21.0,3056
38,-21.0,3056
39,-21.0,3168
40,-21.0,3056
41,-21.0,3056
42,-21.0,3540
43,-21.0,3056
44,-21.0,3784
45,-21.0,3296
46,-21.0,3056
47,-21.0,3056
48,-21.0,3056
49,-21.0,3056
50,-21.0,3056
51,-21.0,3056
52,-21.0,3056
53,-21.0,3776
54,-21.0,3408
55,-21.0,3168
56,-21.0,3056
57,-21.0,3056
58,-21.0,3296
59,-21.0,3776
60,-21.0,3056
61,-21.0,3296
