episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-20.0,3615
13,-21.0,3896
14,-20.0,3348
15,-21.0,3131
16,-20.0,3485
17,-21.0,3056
18,-21.0,3304
19,-21.0,3296
20,-21.0,3408
21,-20.0,3367
22,-20.0,3367
23,-21.0,3280
24,-21.0,3280
25,-21.0,3168
26,-21.0,3243
27,-21.0,3400
28,-21.0,3371
29,-21.0,3536
30,-21.0,3168
31,-21.0,3544
32,-21.0,3504
33,-21.0,3168
34,-21.0,3168
35,-20.0,3350
36,-20.0,3367
37,-21.0,3168
38,-21.0,3056
39,-21.0,3168
40,-21.0,3280
41,-21.0,3056
42,-21.0,3304
43,-21.0,3544
44,-21.0,3168
45,-20.0,3348
46,-20.0,3367
47,-21.0,3280
48,-21.0,3168
49,-21.0,3544
50,-20.0,3367
51,-21.0,3056
52,-21.0,3416
53,-21.0,3056
54,-21.0,3280
55,-21.0,3296
56,-21.0,3056
57,-21.0,3296
58,-21.0,3056
59,-21.0,3168
60,-21.0,3280
61,-21.0,3056
62,-21.0,3056
63,-21.0,3280
64,-21.0,3056
65,-21.0,3056
66,-20.0,3588
67,-21.0,3056
68,-21.0,3056
69,-21.0,3168
70,-20.0,3690
71,-21.0,3168
72,-21.0,3168
73,-21.0,3056
74,-21.0,3632
75,-21.0,3056
76,-21.0,3056
77,-21.0,3280
78,-21.0,3056
79,-21.0,3168
80,-21.0,3056
81,-20.0,3722
82,-21.0,3168
83,-20.0,3351
84,-21.0,3648
85,-21.0,3056
86,-21.0,3056
87,-21.0,3709
88,-21.0,3296
89,-20.0,3367
90,-21.0,3300
91,-21.0,3371
92,-21.0,3776
93,-21.0,3296
94,-20.0,3462
95,-21.0,3056
96,-21.0,3056
97,-21.0,3623
98,-21.0,3300
99,-21.0,3304
100,-20.0,4441
101,-20.0,3367
102,-21.0,3408
103,-21.0,3056
104,-21.0,3536
105,-20.0,3370
106,-21.0,3750
107,-21.0,3304
108,-21.0,3056
109,-20.0,3967
110,-20.0,3481
111,-21.0,3056
112,-21.0,3056
113,-20.0,3370
114,-21.0,3056
115,-21.0,3371
116,-21.0,3168
117,-21.0,3056
118,-21.0,3168
119,-20.0,3484
120,-21.0,3056
121,-21.0,3056
122,-19.0,3971
123,-20.0,3591
124,-21.0,3355
125,-21.0,3056
126,-21.0,3056
127,-21.0,3056
128,-21.0,3056
129,-21.0,3296
130,-21.0,3056
131,-20.0,3435
132,-21.0,3243
133,-20.0,3590
134,-21.0,3056
135,-20.0,3367
136,-21.0,3920
137,-21.0,3131
138,-21.0,3187
139,-18.0,4107
140,-20.0,3607
141,-21.0,3056
142,-19.0,3842
143,-21.0,3296
144,-20.0,3442
145,-21.0,3168
146,-21.0,3056
147,-21.0,3371
148,-19.0,3790
149,-19.0,4030
150,-21.0,3056
151,-20.0,3373
152,-21.0,3168
153,-20.0,3512
154,-21.0,3168
155,-19.0,3816
156,-21.0,3056
157,-21.0,3056
158,-21.0,3296
159,-21.0,3168
160,-21.0,3131
161,-21.0,3056
162,-21.0,3056
163,-21.0,3168
164,-21.0,3168
165,-21.0,3296
166,-21.0,3300
167,-21.0,3056
168,-21.0,3056
169,-21.0,3304
170,-21.0,3056
171,-21.0,3377
172,-19.0,4158
173,-20.0,3683
174,-21.0,3296
175,-20.0,4653
176,-21.0,3296
177,-21.0,3296
178,-21.0,3056
179,-21.0,3300
180,-21.0,3056
181,-21.0,3056
