episode,reward,length
1,-21.0,3412
2,-21.0,3371
3,-20.0,3612
4,-20.0,3352
5,-19.0,4032
6,-21.0,3168
7,-20.0,4275
8,-20.0,3807
9,-21.0,3296
10,-21.0,3408
11,-18.0,4548
12,-21.0,3408
13,-21.0,3408
14,-21.0,3408
15,-21.0,3168
16,-20.0,3854
17,-21.0,3168
18,-20.0,3350
19,-21.0,3168
20,-21.0,3131
21,-21.0,3168
22,-21.0,3168
23,-21.0,3056
24,-21.0,3056
25,-21.0,3056
26,-21.0,3056
27,-21.0,3379
28,-21.0,3131
29,-21.0,3296
30,-21.0,3392
31,-21.0,3392
32,-21.0,3056
33,-21.0,3056
34,-21.0,3056
35,-19.0,3790
36,-21.0,3056
37,-21.0,3056
38,-21.0,3131
39,-21.0,3056
40,-21.0,3056
41,-21.0,3296
42,-21.0,3056
43,-21.0,3056
44,-21.0,3056
45,-21.0,3056
46,-21.0,3056
47,-21.0,3056
48,-21.0,3056
49,-21.0,3296
50,-21.0,3131
51,-21.0,3168
52,-21.0,3304
53,-21.0,3056
54,-21.0,3056
55,-21.0,3056
56,-21.0,3784
57,-21.0,3304
58,-21.0,3168
59,-21.0,3056
60,-21.0,3056
61,-21.0,3056
